service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CSLB:1:1:001MF2204:O:1,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:4,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:7,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:8,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:13,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:14,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:18,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:21,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:24,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:27,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:30,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:33,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:34,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:39,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:40,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:44,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:O:47,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:1,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:4,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:9,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:10,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:13,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:16,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:19,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:22,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:25,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:28,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:32,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:33,0,0,0,0,0,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:36,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:39,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:42,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001MF2204:I:44,1,1,1,1,1,0,0,20220918,20221223
CSLB:1:1:001SA2204:O:1,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:4,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:7,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:10,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:13,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:16,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:19,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:22,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:25,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:28,0,0,0,0,0,1,0,20220918,20221223
CSLB:1:1:001SA2204:O:31,0,0,0,0,0,1,0,20220918,20221223
