service_id,date,exception_type
CSLB:1:1:001MF2204:O:7,20220919,1
CSLB:1:1:001MF2204:O:7,20220920,1
CSLB:1:1:001MF2204:O:7,20220921,1
CSLB:1:1:001MF2204:O:7,20220922,1
CSLB:1:1:001MF2204:O:7,20220923,1
CSLB:1:1:001MF2204:O:7,20220926,1
CSLB:1:1:001MF2204:O:7,20220927,1
CSLB:1:1:001MF2204:O:7,20220928,1
CSLB:1:1:001MF2204:O:7,20220929,1
CSLB:1:1:001MF2204:O:7,20220930,1
CSLB:1:1:001MF2204:O:7,20221003,1
CSLB:1:1:001MF2204:O:7,20221004,1
CSLB:1:1:001MF2204:O:7,20221005,1
CSLB:1:1:001MF2204:O:7,20221006,1
CSLB:1:1:001MF2204:O:7,20221007,1
CSLB:1:1:001MF2204:O:7,20221010,1
CSLB:1:1:001MF2204:O:7,20221011,1
CSLB:1:1:001MF2204:O:7,20221012,1
CSLB:1:1:001MF2204:O:7,20221013,1
CSLB:1:1:001MF2204:O:7,20221014,1
CSLB:1:1:001MF2204:O:7,20221017,1
CSLB:1:1:001MF2204:O:7,20221018,1
CSLB:1:1:001MF2204:O:7,20221019,1
CSLB:1:1:001MF2204:O:7,20221020,1
CSLB:1:1:001MF2204:O:7,20221021,1
CSLB:1:1:001MF2204:O:7,20221031,1
CSLB:1:1:001MF2204:O:7,20221101,1
CSLB:1:1:001MF2204:O:7,20221102,1
CSLB:1:1:001MF2204:O:7,20221103,1
CSLB:1:1:001MF2204:O:7,20221104,1
CSLB:1:1:001MF2204:O:7,20221107,1
CSLB:1:1:001MF2204:O:7,20221108,1
CSLB:1:1:001MF2204:O:7,20221109,1
CSLB:1:1:001MF2204:O:7,20221110,1
CSLB:1:1:001MF2204:O:7,20221111,1
CSLB:1:1:001MF2204:O:7,20221114,1
CSLB:1:1:001MF2204:O:7,20221115,1
CSLB:1:1:001MF2204:O:7,20221116,1
CSLB:1:1:001MF2204:O:7,20221117,1
CSLB:1:1:001MF2204:O:7,20221118,1
CSLB:1:1:001MF2204:O:7,20221121,1
CSLB:1:1:001MF2204:O:7,20221122,1
CSLB:1:1:001MF2204:O:7,20221123,1
CSLB:1:1:001MF2204:O:7,20221124,1
CSLB:1:1:001MF2204:O:7,20221125,1
CSLB:1:1:001MF2204:O:7,20221128,1
CSLB:1:1:001MF2204:O:7,20221129,1
CSLB:1:1:001MF2204:O:7,20221130,1
CSLB:1:1:001MF2204:O:7,20221201,1
CSLB:1:1:001MF2204:O:7,20221202,1
CSLB:1:1:001MF2204:O:7,20221205,1
CSLB:1:1:001MF2204:O:7,20221206,1
CSLB:1:1:001MF2204:O:7,20221207,1
CSLB:1:1:001MF2204:O:7,20221208,1
CSLB:1:1:001MF2204:O:7,20221209,1
CSLB:1:1:001MF2204:O:7,20221212,1
CSLB:1:1:001MF2204:O:7,20221213,1
CSLB:1:1:001MF2204:O:7,20221214,1
CSLB:1:1:001MF2204:O:7,20221215,1
CSLB:1:1:001MF2204:O:7,20221216,1
CSLB:1:1:001MF2204:O:7,20221219,1
CSLB:1:1:001MF2204:O:7,20221220,1
CSLB:1:1:001MF2204:O:8,20220919,2
CSLB:1:1:001MF2204:O:8,20220920,2
CSLB:1:1:001MF2204:O:8,20220921,2
CSLB:1:1:001MF2204:O:8,20220922,2
CSLB:1:1:001MF2204:O:8,20220923,2
CSLB:1:1:001MF2204:O:8,20220926,2
CSLB:1:1:001MF2204:O:8,20220927,2
CSLB:1:1:001MF2204:O:8,20220928,2
CSLB:1:1:001MF2204:O:8,20220929,2
CSLB:1:1:001MF2204:O:8,20220930,2
CSLB:1:1:001MF2204:O:8,20221003,2
CSLB:1:1:001MF2204:O:8,20221004,2
CSLB:1:1:001MF2204:O:8,20221005,2
CSLB:1:1:001MF2204:O:8,20221006,2
CSLB:1:1:001MF2204:O:8,20221007,2
CSLB:1:1:001MF2204:O:8,20221010,2
CSLB:1:1:001MF2204:O:8,20221011,2
CSLB:1:1:001MF2204:O:8,20221012,2
CSLB:1:1:001MF2204:O:8,20221013,2
CSLB:1:1:001MF2204:O:8,20221014,2
CSLB:1:1:001MF2204:O:8,20221017,2
CSLB:1:1:001MF2204:O:8,20221018,2
CSLB:1:1:001MF2204:O:8,20221019,2
CSLB:1:1:001MF2204:O:8,20221020,2
CSLB:1:1:001MF2204:O:8,20221021,2
CSLB:1:1:001MF2204:O:8,20221031,2
CSLB:1:1:001MF2204:O:8,20221101,2
CSLB:1:1:001MF2204:O:8,20221102,2
CSLB:1:1:001MF2204:O:8,20221103,2
CSLB:1:1:001MF2204:O:8,20221104,2
