stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
040000002153,,"Amersham, Railway Station",,51.674965,-0.607715,,,,,,
040000002155,,"Amersham, Oakfield Corner",,51.676386,-0.6077,,,,,,
040000002161,,"Amersham, Hervines Road",,51.679796,-0.608651,,,,,,
040000002163,,"Amersham, Copperkins Lane",,51.681816,-0.60992,,,,,,
040000002651,,"Chesham Bois, Amersham Road",,51.683596,-0.612108,,,,,,
040000002165,,"Chesham Bois, Bois Avenue",,51.685478,-0.614669,,,,,,
040000002167,,"Chesham Bois, The Beacon School",,51.689399,-0.61397,,,,,,
040000002169,,"Chesham, Mineral Lane",,51.701236,-0.611163,,,,,,
040000002171,,"Chesham, Red Lion Street",,51.702851,-0.612416,,,,,,
040000002173,,"Chesham, Broadway",,51.70635,-0.612512,,,,,,
040000002701,,"Chesham, Police Station",,51.708825,-0.610453,,,,,,
040000002703,,"Chesham, The Jolly Sportsman PH",,51.710737,-0.609352,,,,,,
040000002705,,"Chesham, Berkhampstead Road",,51.713806,-0.608086,,,,,,
040000002707,,"Chesham, The Nash Arms PH",,51.716405,-0.60734,,,,,,
040000002709,,"Chesham, Preston Hill",,51.717529,-0.603542,,,,,,
040000002801,,"Chesham, Culverhouse Way",,51.720906,-0.597183,,,,,,
040000002803,,"Lye Green, Deer Park Walk",,51.720532,-0.592273,,,,,,
040000002727,,"Lye Green, The Green",,51.720705,-0.584189,,,,,,
040000002596,,"Orchard Leigh, Rushmere Lane",,51.719663,-0.569412,,,,,,
210021403647,,"Bovingdon, Airfield",,51.721175750124,-0.55022776153747,,,,,,
210021409300,,"Bovingdon, Whitehart Cross",,51.718082918081,-0.54371094238603,,,,,,
210021403590,,"Bovingdon Green, The Grange",,51.717085601313,-0.53725767862597,,,,,,
210021403600,,"Bovingdon, Nye Way",,51.71973367197,-0.53256856026756,,,,,,
210021403940,,"Bovingdon, Memorial Hall",,51.722736936423,-0.53184878486547,,,,,,
210021403960,,"Bovingdon, Hempstead Road",,51.723905174464,-0.53395373395511,,,,,,
210021403980,,"Bovingdon, Vicarage Lane",,51.725546037152,-0.5335821245992,,,,,,
210021404000,,"Bovingdon, Bobsleigh Hotel",,51.729046499781,-0.5266053605394,,,,,,
210021404020,,"Bovingdon, Little Hay Golf Course",,51.731708028281,-0.52230490474119,,,,,,
210021404040,,"Bovingdon, Bury Rise",,51.734491229777,-0.51057083823413,,,,,,
210021404060,,"Felden, Sheethanger Common",,51.736647804161,-0.50408423010412,,,,,,
210021404080,,"Felden, Boxmoor House School",,51.739909761328,-0.49968940711206,,,,,,
210021404400,,"Felden, Meadow Way",,51.742526080382,-0.49544575096397,,,,,,
210021404420,,"Hemel Hempstead, Railway Station",,51.743260532507,-0.48961304805041,,,,,,
210021404460,,"Boxmoor, Roughdown Road",,51.743134935213,-0.48614095113623,,,,,,
210021404480,,"Boxmoor, St Johns Church",,51.744232745201,-0.47923842439188,,,,,,
210021407010,,"Hemel Hempstead, Riverside",,51.74695838907,-0.47446799750394,,,,,,
210021407005,,"Hemel Hempstead, Waterhouse Street",,51.748414580204,-0.47373808992439,,,,,,
210021413007,,"Hemel Hempstead, Marlowes",,51.752135667419,-0.47223635754961,,,,,,
040000002953,,"High Wycombe, Bus Station",,51.631174,-0.756764,,,,,,
040000003058,,"High Wycombe, Oxford Street",,51.630941,-0.753404,,,,,,
040000003052,,"High Wycombe, Castle Street",,51.629732,-0.74799,,,,,,
040000003101,,"High Wycombe, Maybrook Gardens",,51.634909,-0.742732,,,,,,
040000003103,,"High Wycombe, Amersham Hill Drive",,51.637563,-0.740289,,,,,,
040000003105,,"High Wycombe, Royal Grammar School",,51.641012,-0.73739,,,,,,
040000003109,,"Terriers, Crossroads",,51.644273,-0.732169,,,,,,
040000003113,,"Terriers, De Havilland Drive",,51.646765,-0.724786,,,,,,
040000003115,,"Hazlemere, St John's Road",,51.647874,-0.720881,,,,,,
040000003117,,"Hazlemere, Holy Trinity Church",,51.649953,-0.716139,,,,,,
040000003119,,"Hazlemere, Holmer Green Road",,51.652255,-0.712894,,,,,,
040000003087,,"Hazlemere, Park Lane",,51.655084,-0.711744,,,,,,
040000003121,,"Hazlemere, Park Parade",,51.657019,-0.709405,,,,,,
040000003123,,"Hazlemere, Sawpit Hill",,51.661191,-0.706149,,,,,,
040000002103,,"Holmer Green, Copners Drive",,51.662509,-0.700906,,,,,,
040000002105,,"Holmer Green, Browns Road",,51.664087,-0.696466,,,,,,
040000002107,,"Holmer Green, The Pond",,51.665256,-0.693974,,,,,,
040000002109,,"Holmer Green, The Bat & Ball PH",,51.667631,-0.690913,,,,,,
040000002111,,"Holmer Green, Winters Way",,51.667122,-0.687934,,,,,,
040000002113,,"Beamond End, Sheepcote Dell Road",,51.662604,-0.679621,,,,,,
040000002115,,"Penn Street, Penn Wood",,51.66091,-0.664937,,,,,,
040000002135,,"Winchmore Hill, New Road",,51.657511,-0.633636,,,,,,
040000002137,,"Old Amersham, Crematorium",,51.659536,-0.626896,,,,,,
040000002097,,"Old Amersham, Amersham Hospital",,51.661243,-0.622189,,,,,,
040000002139,,"Old Amersham, Gilbert Scott Court",,51.663639,-0.619427,,,,,,
040000002141,,"Old Amersham, Whielden Street",,51.665593,-0.616634,,,,,,
040000002143,,"Old Amersham, Broadway",,51.665649,-0.612989,,,,,,
040000002499,,"Amersham, The Chequers PH",,51.664351,-0.606609,,,,,,
040000002600,,"Amersham, Stanley Hill Schools",,51.668079,-0.594998,,,,,,
040000002607,,"Amersham, Blackhorse Bridge",,51.672749,-0.592294,,,,,,
040000002606,,"Amersham, Plantation Road",,51.673961,-0.594324,,,,,,
040000002604,,"Amersham, Green Lane",,51.67617,-0.599405,,,,,,
040000002602,,"Amersham, Leisure Centre",,51.676677,-0.602658,,,,,,
040000002836,,"Chesham, Eskdale Avenue",,51.710595,-0.603437,,,,,,
040000002743,,"Chesham, Codmore Cross",,51.709805,-0.599843,,,,,,
210021406005,,"Hemel Hempstead, Waterhouse Street",,51.748655936936,-0.47362855114498,,,,,,
210021406020,,"Hemel Hempstead, Riverside",,51.747136831349,-0.47436058578809,,,,,,
210021408520,,"Boxmoor, St Johns Church",,51.744159699727,-0.47776342091318,,,,,,
210021408540,,"Boxmoor, Roughdown Road",,51.742989110177,-0.48529124082368,,,,,,
210021408560,,"Hemel Hempstead, Railway Station",,51.742927297609,-0.49097121410746,,,,,,
210021408660,,"Felden, Meadow Way",,51.742346782576,-0.49619040372189,,,,,,
210021408720,,"Felden, Boxmoor House School",,51.739543840068,-0.49990429320154,,,,,,
210021408740,,"Felden, Sheethanger Common",,51.736223747483,-0.50467752322448,,,,,,
210021408760,,"Bovingdon, Bury Rise",,51.734377136602,-0.51079181409124,,,,,,
210021408780,,"Bovingdon, Little Hay Golf Course",,51.730443463755,-0.52399690807104,,,,,,
210021408800,,"Bovingdon, Bobsleigh Hotel",,51.728886709365,-0.52676983467421,,,,,,
210021408820,,"Bovingdon, Vicarage Lane",,51.725560762394,-0.53332102919427,,,,,,
210021408840,,"Bovingdon, Hempstead Road",,51.723874237404,-0.53363621215671,,,,,,
210021408860,,"Bovingdon, Memorial Hall",,51.722469407699,-0.53130729172305,,,,,,
210021409330,,"Bovingdon, Nye Way",,51.719253730974,-0.53301840030218,,,,,,
210021409335,,"Bovingdon Green, The Grange",,51.716966953399,-0.53711674580272,,,,,,
210021403640,,"Bovingdon, Whitehart Cross",,51.718012088284,-0.54380007601914,,,,,,
210021403648,,"Bovingdon, Airfield",,51.72106068827,-0.55037621511594,,,,,,
040000002597,,"Orchard Leigh, Rushmere Lane",,51.719523,-0.569749,,,,,,
040000002744,,"Chesham, Codmore Cross",,51.709651,-0.599732,,,,,,
040000002825,,"Chesham, Eskdale Avenue",,51.710506,-0.60357,,,,,,
040000002704,,"Chesham, The Jolly Sportsman PH",,51.710715,-0.609035,,,,,,
040000002702,,"Chesham, Police Station",,51.708761,-0.61031,,,,,,
040000002174,,"Chesham, Broadway",,51.706309,-0.612875,,,,,,
040000002172,,"Chesham, Red Lion Street",,51.702328,-0.611535,,,,,,
040000002170,,"Chesham, The Wild Rover PH",,51.700991,-0.610982,,,,,,
040000002168,,"Chesham Bois, The Beacon School",,51.688869,-0.614001,,,,,,
040000002166,,"Chesham Bois, Bois Avenue",,51.685639,-0.614577,,,,,,
040000002652,,"Chesham Bois, Amersham Road",,51.683603,-0.611934,,,,,,
040000002164,,"Amersham, Copperkins Lane",,51.682371,-0.610438,,,,,,
040000002162,,"Amersham, Hervines Road",,51.679307,-0.608305,,,,,,
040000002156,,"Amersham, Oakfield Corner",,51.676303,-0.607515,,,,,,
040000002213,,"Amersham, Railway Station",,51.67455,-0.607568,,,,,,
040000002601,,"Amersham, Leisure Centre",,51.676581,-0.602907,,,,,,
040000002603,,"Amersham, Green Lane",,51.675837,-0.598576,,,,,,
040000002605,,"Amersham, Plantation Road",,51.673658,-0.59309,,,,,,
040000002498,,"Amersham, The Chequers PH",,51.664131,-0.606239,,,,,,
040000002142,,"Old Amersham, Broadway",,51.665396,-0.612866,,,,,,
040000002140,,"Old Amersham, Whielden Street",,51.66584,-0.616193,,,,,,
040000002138,,"Old Amersham, Gilbert Scott Court",,51.663476,-0.619374,,,,,,
040000002096,,"Old Amersham, Amersham Hospital",,51.661206,-0.622031,,,,,,
040000002136,,"Old Amersham, Crematorium",,51.659175,-0.627557,,,,,,
040000002134,,"Winchmore Hill, New Road",,51.65677,-0.634858,,,,,,
040000002133,,"Winchmore Hill, Whielden Gate",,51.6531,-0.644119,,,,,,
040000002116,,"Penn Street, Penn Wood",,51.661009,-0.665729,,,,,,
040000002114,,"Beamond End, Sheepcote Dell Road",,51.661632,-0.678738,,,,,,
040000002112,,"Holmer Green, Winters Way",,51.666221,-0.685415,,,,,,
040000002110,,"Holmer Green, The Bat & Ball PH",,51.667603,-0.690783,,,,,,
040000002108,,"Holmer Green, The Pond",,51.665271,-0.693713,,,,,,
040000002106,,"Holmer Green, Browns Road",,51.663657,-0.697375,,,,,,
040000002104,,"Holmer Green, Copners Drive",,51.662776,-0.699887,,,,,,
040000003122,,"Hazlemere, Sawpit Hill",,51.661171,-0.705962,,,,,,
040000003120,,"Hazlemere, Park Parade",,51.657829,-0.708674,,,,,,
040000003118,,"Hazlemere, Park Lane",,51.654762,-0.711883,,,,,,
040000003116,,"Hazlemere, Crossroads",,51.650784,-0.714005,,,,,,
040000003114,,"Hazlemere, Holy Trinity Church",,51.649067,-0.718173,,,,,,
040000003112,,"Hazlemere, St John's Road",,51.647527,-0.721295,,,,,,
040000003110,,"Terriers, De Havilland Drive",,51.646769,-0.724309,,,,,,
040000003108,,"Terriers, Crossroads",,51.644139,-0.732259,,,,,,
040000003106,,"High Wycombe, Royal Grammar School",,51.640956,-0.737218,,,,,,
040000003104,,"High Wycombe, Amersham Hill Drive",,51.637712,-0.739967,,,,,,
040000003102,,"High Wycombe, Maybrook Gardens",,51.634409,-0.743006,,,,,,
040000002972,,"High Wycombe, Station Interchange",,51.629748,-0.746054,,,,,,
040000003053,,"High Wycombe, Castle Street",,51.629596,-0.747849,,,,,,
040000003061,,"High Wycombe, Oxford Street",,51.63076,-0.753308,,,,,,
040000002728,,"Lye Green, The Green",,51.720653,-0.584393,,,,,,
040000002804,,"Lye Green, Deer Park Walk",,51.720479,-0.592318,,,,,,
040000002802,,"Chesham, Culverhouse Way",,51.720768,-0.597709,,,,,,
040000002712,,"Chesham, Lycrome Road",,51.72001,-0.598963,,,,,,
040000002710,,"Chesham, Preston Hill",,51.717656,-0.602944,,,,,,
040000002708,,"Chesham, The Nash Arms PH",,51.716349,-0.607211,,,,,,
040000002706,,"Chesham, Berkhampstead Road",,51.713454,-0.607952,,,,,,
040000002147,,"Amersham, Station Road",,51.665902,-0.60779,,,,,,
040000002149,,"Amersham, Beech Grove",,51.669264,-0.606877,,,,,,
040000002151,,"Amersham, The Rise",,51.671517,-0.607314,,,,,,
040000002175,,"Chesham, Townsend Road",,51.710126,-0.613236,,,,,,
040000002177,,"Chesham, Fire Station",,51.713434,-0.615421,,,,,,
040000002813,,"Chesham, Valley View",,51.716322,-0.617823,,,,,,
040000002179,,"Chesham, Hivings Hill",,51.716861,-0.618603,,,,,,
040000002181,,"Chesham, Hope Church",,51.721291,-0.617599,,,,,,
040000002183,,"Chesham, Windsor Road",,51.71936,-0.616181,,,,,,
040000002185,,"Chesham, Lyndhurst Road",,51.71738,-0.613752,,,,,,
040000002099,,"Chesham, Lansdowne Road",,51.715245,-0.611183,,,,,,
040000002698,,"Chesham, Addison Road",,51.714685,-0.609448,,,,,,
040000002150,,"Amersham, The Rise",,51.671651,-0.607238,,,,,,
040000002148,,"Amersham, Beech Grove",,51.669352,-0.60673,,,,,,
040000002146,,"Amersham, Station Road",,51.665383,-0.607994,,,,,,
040000002963,,"High Wycombe, Bus Station",,51.631412,-0.75631,,,,,,
040000003347,,"High Wycombe, St John's Church",,51.63121,-0.760144,,,,,,
040000003288,,"High Wycombe, Baker Street",,51.633196,-0.761766,,,,,,
040000003329,,"High Wycombe, The White Horse PH",,51.634853,-0.764539,,,,,,
040000003331,,"High Wycombe, Desborough Park Road",,51.637172,-0.772134,,,,,,
040000003333,,"High Wycombe, Mill End Road",,51.639127,-0.778584,,,,,,
