route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CSLB:1:1,CSLB:1:1:001MF2204:O:1,CSLB:1:1:001MF2204:O:1,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:4,CSLB:1:1:001MF2204:O:4,"Hemel Hempstead",,1,01E,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:7,CSLB:1:1:001MF2204:O:7,"Hemel Hempstead",,1,01G,1-4,,
CSLB:1:1,CSLB:1:1:001MF2204:O:8,CSLB:1:1:001MF2204:O:8,"Hemel Hempstead",,1,01G,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:13,CSLB:1:1:001MF2204:O:13,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:14,CSLB:1:1:001MF2204:O:14,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:18,CSLB:1:1:001MF2204:O:18,"Hemel Hempstead",,1,01E,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:21,CSLB:1:1:001MF2204:O:21,"Hemel Hempstead",,1,01G,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:24,CSLB:1:1:001MF2204:O:24,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:27,CSLB:1:1:001MF2204:O:27,"Hemel Hempstead",,1,01E,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:30,CSLB:1:1:001MF2204:O:30,"Hemel Hempstead",,1,01G,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:33,CSLB:1:1:001MF2204:O:33,"Hemel Hempstead",,1,01A,1-4,,
CSLB:1:1,CSLB:1:1:001MF2204:O:34,CSLB:1:1:001MF2204:O:34,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:39,CSLB:1:1:001MF2204:O:39,"Hemel Hempstead",,1,01E,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:40,CSLB:1:1:001MF2204:O:40,"Hemel Hempstead",,1,01E,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:44,CSLB:1:1:001MF2204:O:44,"Hemel Hempstead",,1,01G,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:O:47,CSLB:1:1:001MF2204:O:47,"Hemel Hempstead",,1,01A,1-2-2,,
CSLB:1:1,CSLB:1:1:001MF2204:I:1,CSLB:1:1:001MF2204:I:1,"High Wycombe, Bus S",,0,01C,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:4,CSLB:1:1:001MF2204:I:4,"High Wycombe, Bus S",,0,01A,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:9,CSLB:1:1:001MF2204:I:9,"High Wycombe, Bus S",,0,01E,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:10,CSLB:1:1:001MF2204:I:10,"High Wycombe, Bus S",,0,01E,1-3,,
CSLB:1:1,CSLB:1:1:001MF2204:I:13,CSLB:1:1:001MF2204:I:13,"High Wycombe, Bus S",,0,01G,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:16,CSLB:1:1:001MF2204:I:16,"High Wycombe, Bus S",,0,01A,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:19,CSLB:1:1:001MF2204:I:19,"High Wycombe, Bus S",,0,01E,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:22,CSLB:1:1:001MF2204:I:22,"High Wycombe, Bus S",,0,01G,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:25,CSLB:1:1:001MF2204:I:25,"High Wycombe, Bus S",,0,01A,1-1-1,,
CSLB:1:1,CSLB:1:1:001MF2204:I:28,CSLB:1:1:001MF2204:I:28,"High Wycombe, Bus S",,0,01E,1-1-1,,
