RouteName,RouteNumber,Operator,RouteColor,LabelColour,StartPoint,EndPoint
1,1,CSLB,FFFFFF,000000,,
1A,1A,CSLB,FFFFFF,000000,,
1B,1B,CSLB,FFFFFF,000000,,
5,5,CSLB,FFFFFF,000000,,
8,8,CSLB,FFFFFF,000000,,
27,27,CSLB,FFFFFF,000000,,
39,39,CSLB,FFFFFF,000000,,
101,101,CSLB,FFFFFF,000000,,
102,102,CSLB,FFFFFF,000000,,
103,103,CSLB,FFFFFF,000000,,
104,104,CSLB,FFFFFF,000000,,
106,106,CSLB,FFFFFF,000000,,
107,107,CSLB,FFFFFF,000000,,
577,577,CSLB,FFFFFF,000000,,
581,581,CSLB,FFFFFF,000000,,
583,583,CSLB,FFFFFF,000000,,
BB12,BB12,CSLB,FFFFFF,000000,,
SS1,SS1,CSLB,FFFFFF,000000,,
SS2,SS2,CSLB,FFFFFF,000000,,
SS3,SS3,CSLB,FFFFFF,000000,,
LGW,LGW,OXBC,FFFFFF,000000,,
LHR,LHR,OXBC,FFFFFF,000000,,
OXF,OXF,OXBC,FFFFFF,000000,,
X74,X74,FTVA,FFFFFF,000000,,
40,40,RRTR,FFFFFF,000000,,
130,130,RLNE,FFFFFF,000000,,
621,621,RLNE,FFFFFF,000000,,
S130,S130,RLNE,FFFFFF,000000,,
275,275,RRTR,FFFFFF,000000,,
30,30,ARBB,FFFFFF,000000,,
31,31,ARBB,FFFFFF,000000,,
31A,31A,ARBB,FFFFFF,000000,,
32,32,ARBB,FFFFFF,000000,,
32A,32A,ARBB,FFFFFF,000000,,
33,33,ARBB,FFFFFF,000000,,
33A,33A,ARBB,FFFFFF,000000,,
35,35,ARBB,FFFFFF,000000,,
36,36,ARBB,FFFFFF,000000,,
36B,36B,ARBB,FFFFFF,000000,,
36S,36S,ARBB,FFFFFF,000000,,
37,37,ARBB,FFFFFF,000000,,
37A,37A,ARBB,FFFFFF,000000,,
41,41,ARBB,FFFFFF,000000,,
48,48,ARBB,FFFFFF,000000,,
800,800,ARBB,FFFFFF,000000,,
X80,X80,ARBB,FFFFFF,000000,,
850,850,ARBB,FFFFFF,000000,,
28A,28A,REDE,FFFFFF,000000,,
28M,28M,REDE,FFFFFF,000000,,
28,28,REDE,FFFFFF,000000,,
38,38,REDE,FFFFFF,000000,,
158,158,REDE,FFFFFF,000000,,
