name,direction,latitude,longitude,atco,locality,indicator
"Amersham, Railway Station (Stop A)",N,51.674965,-0.607715,040000002153,Amersham,Stop A
"Amersham, Oakfield Corner (Stop B)",N,51.676386,-0.6077,040000002155,Amersham,Stop B
"Amersham, Hervines Road (adj)",N,51.679796,-0.608651,040000002161,Amersham,adj
"Amersham, Copperkins Lane (adj)",NW,51.681816,-0.60992,040000002163,Amersham,adj
"Chesham Bois, Amersham Road (NW-bound)",NW,51.683596,-0.612108,040000002651,Chesham Bois,NW-bound
"Chesham Bois, Bois Avenue (adj)",NW,51.685478,-0.614669,040000002165,Chesham Bois,adj
"Chesham Bois, The Beacon School (o/s)",N,51.689399,-0.61397,040000002167,Chesham Bois,o/s
"Chesham, The Wild Rover PH (Opp)",N,51.701236,-0.611163,040000002169,Chesham,Opp
"Chesham, Red Lion Street (Northbound)",NW,51.702851,-0.612416,040000002171,Chesham,Northbound
"Chesham, Broadway (Stop B)",E,51.70635,-0.612512,040000002173,Chesham,Stop B
"Chesham, Police Station (Opp)",N,51.708825,-0.610453,040000002701,Chesham,Opp
"Chesham, The Jolly Sportsman PH (Opp)",N,51.710737,-0.609352,040000002703,Chesham,Opp
"Chesham, Berkhampstead Road (o/s 320)",N,51.713806,-0.608086,040000002705,Chesham,o/s 320
"Chesham, The Nash Arms PH (o/s)",N,51.716405,-0.60734,040000002707,Chesham,o/s
"Chesham, Preston Hill (Opp)",NE,51.717529,-0.603542,040000002709,Chesham,Opp
"Chesham, Culverhouse Way (adj)",E,51.720906,-0.597183,040000002801,Chesham,adj
"Lye Green, Deer Park Walk (opp)",E,51.720532,-0.592273,040000002803,Lye Green,opp
"Lye Green, The Green (adj)",SE,51.720705,-0.584189,040000002727,Lye Green,adj
"Orchard Leigh, Rushmere Lane (Eastbound)",E,51.719663,-0.569412,040000002596,Orchard Leigh,Eastbound
"Bovingdon, Airfield (adj)",SE,51.72117573512758,-0.5502277648288649,210021403647,Bovingdon,adj
"Bovingdon, Whitehart Cross (SE-bound)",SE,51.71808290308354,-0.5437109456749447,210021409300,Bovingdon,SE-bound
"Bovingdon Green, The Grange (nr)",NE,51.71708558631509,-0.5372576819123202,210021403590,Bovingdon Green,nr
"Bovingdon, Nye Way (adj)",NE,51.719733656972664,-0.532568563551899,210021403600,Bovingdon,adj
"Bovingdon, Memorial Hall (opp)",NW,51.72273692142737,-0.5318487881493857,210021403940,Bovingdon,opp
"Bovingdon, Hempstead Road (N-bound)",NW,51.72390515946884,-0.5339537372398292,210021403960,Bovingdon,N-bound
"Bovingdon, Vicarage Lane (opp)",NE,51.725546022157815,-0.533582127883701,210021403980,Bovingdon,opp
"Bovingdon, Bobsleigh Hotel (opp)",NE,51.72904648478803,-0.5266053638209024,210021404000,Bovingdon,opp
"Bovingdon, Little Hay Golf Course (nr)",NE,51.73170801328969,-0.5223049080208229,210021404020,Bovingdon,nr
"Bovingdon, Bury Rise (opp)",E,51.73449121478641,-0.5105708415088129,210021404040,Bovingdon,opp
"Felden, Sheethanger Common (opp)",NE,51.73664778917107,-0.5040842333760144,210021404060,Felden,opp
"Felden, Boxmoor House School (opp)",NE,51.73990974633997,-0.49968941038198234,210021404080,Felden,opp
"Felden, Meadow Way (opp)",E,51.74252606539463,-0.4954457542320007,210021404400,Felden,opp
"Boxmoor, Hemel Hempstead Railway Station (Stop F)",E,51.743260517520234,-0.4896130513159499,210021404420,Boxmoor,Stop F
"Boxmoor, Roughdown Road (opp)",E,51.7431349202261,-0.4861409544003169,210021404460,Boxmoor,opp
"Boxmoor, St Johns Church (adj)",E,51.744232730214115,-0.47923842765298513,210021404480,Boxmoor,adj
"Hemel Hempstead, Riverside (Stop 27)",NW,51.746958374084855,-0.47446800076289825,210021407010,Hemel Hempstead,Stop 27
"Hemel Hempstead, Waterhouse Street (Stop 18)",N,51.748414565218866,-0.4737380931829719,210021407005,Hemel Hempstead,Stop 18
"Hemel Hempstead, Marlowes (Stop H)",S,51.7521356524355,-0.4722363608073832,210021413007,Hemel Hempstead,Stop H
"High Wycombe, High Wycombe BusStn (Bay 3)",,51.631174,-0.756764,040000002953,High Wycombe,Bay 3
"High Wycombe, Oxford Street (Stop J)",E,51.630941,-0.753404,040000003058,High Wycombe,Stop J
"High Wycombe, Castle Street (Stop V)",E,51.629732,-0.74799,040000003052,High Wycombe,Stop V
"High Wycombe, Maybrook Gardens (Opp)",NE,51.634909,-0.742732,040000003101,High Wycombe,Opp
"High Wycombe, Amersham Hill Drive (Opp)",NE,51.637563,-0.740289,040000003103,High Wycombe,Opp
"High Wycombe, Royal Grammar School (o/s)",NE,51.641012,-0.73739,040000003105,High Wycombe,o/s
"Terriers, Crossroads (o/s 169)",NE,51.644273,-0.732169,040000003109,Terriers,o/s 169
"Terriers, De Havilland Drive (Opp)",E,51.646765,-0.724786,040000003113,Terriers,Opp
"Hazlemere, St John's Road (Opp)",NE,51.647874,-0.720881,040000003115,Hazlemere,Opp
"Hazlemere, Holy Trinity Church (Opp)",NE,51.649953,-0.716139,040000003117,Hazlemere,Opp
"Hazlemere, Holmer Green Road (o/s 5)",N,51.652255,-0.712894,040000003119,Hazlemere,o/s 5
"Hazlemere, Park Lane (Opp)",NE,51.655084,-0.711744,040000003087,Hazlemere,Opp
"Hazlemere, Park Parade (adj)",N,51.657019,-0.709405,040000003121,Hazlemere,adj
"Hazlemere, Sawpit Hill (o/s 49)",N,51.661191,-0.706149,040000003123,Hazlemere,o/s 49
"Holmer Green, Copners Drive (opp)",NE,51.662509,-0.700906,040000002103,Holmer Green,opp
"Holmer Green, Browns Road (NE-bound)",NE,51.664087,-0.696466,040000002105,Holmer Green,NE-bound
"Holmer Green, The Pond (opp)",NE,51.665256,-0.693974,040000002107,Holmer Green,opp
"Holmer Green, The Bat & Ball PH (Opp)",N,51.667631,-0.690913,040000002109,Holmer Green,Opp
"Holmer Green, Winters Way (adj)",SE,51.667122,-0.687934,040000002111,Holmer Green,adj
"Beamond End, Sheepcote Dell Road (Eastbound)",SE,51.662604,-0.679621,040000002113,Beamond End,Eastbound
"Penn Street, Penn Wood (opp)",SE,51.66091,-0.664937,040000002115,Penn Street,opp
"Winchmore Hill, New Road (Opp)",NE,51.657511,-0.633636,040000002135,Winchmore Hill,Opp
"Old Amersham, Crematorium (o/s)",NE,51.659536,-0.626896,040000002137,Old Amersham,o/s
"Old Amersham, Amersham Hospital (adj)",NE,51.661243,-0.622189,040000002097,Old Amersham,adj
"Old Amersham, Gilbert Scott Court (adj)",NE,51.663639,-0.619427,040000002139,Old Amersham,adj
"Old Amersham, Whielden Street (Stop C)",NE,51.665593,-0.616634,040000002141,Old Amersham,Stop C
"Old Amersham, Broadway (Stop A)",E,51.665649,-0.612989,040000002143,Old Amersham,Stop A
"Amersham, The Chequers PH (adj)",E,51.664351,-0.606609,040000002499,Amersham,adj
"Amersham, Stanley Hill Schools (Stop S1)",N,51.668079,-0.594998,040000002600,Amersham,Stop S1
"Amersham, Blackhorse Bridge (adj)",E,51.672749,-0.592294,040000002607,Amersham,adj
"Amersham, Plantation Road (Opp)",NW,51.673961,-0.594324,040000002606,Amersham,Opp
"Amersham, Green Lane (Opp)",NW,51.67617,-0.599405,040000002604,Amersham,Opp
"Amersham, Leisure Centre (adj)",SW,51.676677,-0.602658,040000002602,Amersham,adj
"Chesham, Eskdale Avenue (eastbound)",E,51.710595,-0.603437,040000002836,Chesham,eastbound
"Chesham, Codmore Cross (Opp 129)",SE,51.709805,-0.599843,040000002743,Chesham,Opp 129
"Hemel Hempstead, Waterhouse Street (Stop 19)",S,51.74865592195108,-0.47362855440349744,210021406005,Hemel Hempstead,Stop 19
"Hemel Hempstead, Riverside (Stop 22)",SE,51.74713681636327,-0.47436058904698797,210021406020,Hemel Hempstead,Stop 22
"Boxmoor, St Johns Church (opp)",W,51.74415968474026,-0.47776342417366097,210021408520,Boxmoor,opp
"Boxmoor, Roughdown Road (adj)",W,51.742989095189955,-0.48529124408740887,210021408540,Boxmoor,adj
"Boxmoor, Hemel Hempstead Railway Station (Stop E)",W,51.74292728262222,-0.49097121737359045,210021408560,Boxmoor,Stop E
"Felden, Meadow Way (nr)",W,51.74234676758888,-0.49619040699024425,210021408660,Felden,nr
"Felden, Boxmoor House School (adj)",SW,51.739543825079615,-0.4999042964715686,210021408720,Felden,adj
"Felden, Sheethanger Common (adj)",SW,51.73622373249277,-0.5046775264966367,210021408740,Felden,adj
"Bovingdon, Bury Rise (adj)",W,51.73437712161162,-0.5107918173660132,210021408760,Bovingdon,adj
"Bovingdon, Little Hay Golf Course (opp)",SW,51.730443448762806,-0.5239969113514189,210021408780,Bovingdon,opp
"Bovingdon, Bobsleigh Hotel (o/s)",SW,51.728886694372136,-0.5267698379557931,210021408800,Bovingdon,o/s
"Bovingdon, Vicarage Lane (nr)",SW,51.72556074739918,-0.5333210324786615,210021408820,Bovingdon,nr
"Bovingdon, Hempstead Road (S-bound)",SE,51.72387422240907,-0.533636215441298,210021408840,Bovingdon,S-bound
"Bovingdon, Memorial Hall (adj)",SE,51.72246939270294,-0.531307295006755,210021408860,Bovingdon,adj
"Bovingdon, Nye Way (opp)",SW,51.719253715976805,-0.5330184035867224,210021409330,Bovingdon,opp
"Bovingdon Green, The Grange (opp)",SW,51.716966938400574,-0.537116749089025,210021409335,Bovingdon Green,opp
"Bovingdon, Whitehart Cross (NW-bound)",NW,51.718012073285905,-0.5438000793080944,210021403640,Bovingdon,NW-bound
"Bovingdon, Airfield (opp)",NW,51.72106067327438,-0.5503762184073987,210021403648,Bovingdon,opp
"Orchard Leigh, Rushmere Lane (Westbound)",W,51.719523,-0.569749,040000002597,Orchard Leigh,Westbound
"Chesham, Codmore Cross (adj 129)",NW,51.709651,-0.599732,040000002744,Chesham,adj 129
"Chesham, Eskdale Avenue (Westbound)",W,51.710506,-0.60357,040000002825,Chesham,Westbound
"Chesham, The Jolly Sportsman PH (o/s)",S,51.710715,-0.609035,040000002704,Chesham,o/s
"Chesham, Police Station (adj)",S,51.708761,-0.61031,040000002702,Chesham,adj
"Chesham, Broadway (Stop A)",W,51.706309,-0.612875,040000002174,Chesham,Stop A
"Chesham, Red Lion Street (Southbound)",SE,51.702328,-0.611535,040000002172,Chesham,Southbound
"Chesham, The Wild Rover PH (o/s)",S,51.700991,-0.610982,040000002170,Chesham,o/s
"Chesham Bois, The Beacon School (Opp)",S,51.688869,-0.614001,040000002168,Chesham Bois,Opp
